clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3
Del_11p15.1	0.00378874258726358	0.00497708038291693	0.00052879458519731	0.0101596126402386	0.0144332847927396	0.00391505315882924	0.795668321538116	0.79579858177707	0.477666843963602	0.00443766965633463	0.00599481587246682	0.00146524830894321	0.143594397701291	0.153444491167035	0.318044228224418	0.600061603207963	0.601420302426322	0.267591114617019	0.0977838819856401	0.100320260659336	0.135187665993826	0.75303481728315	0.753505444210235	0.571864533786702	0.642004723244149	0.642679345147068	0.388084676531698
Amp_11p13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_11p11.2	0.000450004624081957	0.00082481396988219	1.80437371843888e-06	0.0374891365062908	0.045410602363034	0.0669667429098224	0.744444051323441	0.74474612046723	0.238104172920134	1.15345457788463e-05	5.58265206263859e-05	5.26602571028936e-09	0.0947754765085901	0.10564843745584	0.231325343611791	0.31194649993807	0.318582718230869	0.173351260128386	0.0802030327039408	0.0829632797228117	0.0659270027541779	0.375862977053798	0.37868202317079	0.85727545333959	0.767093976126097	0.76729148399971	0.560836057613583
Amp_11q24.1	0.11925447392996	0.126434472142016	0.427971923988221	0.978147761731879	0.977558260093002	0.886376262721931	0.275685570695556	0.283913454038492	0.966690459681903	0.0789498095150744	0.0864787760063499	0.594542906792706	0.832333476609316	0.83178569537911	0.993495542285537	0.173490335947165	0.185801818767953	0.853674849153626	0.0497126070142063	0.0538640792552836	0.150157688316313	0.922738074263115	0.923150826534787	0.71018618070283	0.0736801867963991	0.0808624338722431	0.247718153700178
Amp_12p13.32	0.00790628726548803	0.00973996347080607	0.00554385934167137	0.764246760362356	0.768057405319321	0.994657047991148	0.0768907935193202	0.0887864961737834	0.172986496023255	0.00465128123188208	0.00647589570123021	0.00332767579390254	0.973130124540459	0.977340813154424	0.735339659511767	0.0610017244572801	0.0732981667380183	0.196445914161038	0.0867425239063953	0.0898952667637259	0.0239259778817021	0.65103397709531	0.651775333061402	0.536817935341675	0.150980749372623	0.155760065285454	0.211365142020132
Del_12p13.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_12q12	0.986673495134133	0.986320687403161	0.957958438925967	0.525443904414572	0.526795405793056	0.430803093622058	0.481423748034133	0.485370866284879	0.65868545710109	0.97063130829177	0.971057699680366	0.938572660605418	0.963190235703072	0.963608402386614	0.788797979256728	0.919413610642523	0.919430297058369	0.999927769729051	0.475124680851925	0.47533528950347	0.466028020618984	0.450646899254965	0.452323337565119	0.438378147308079	0.913307692342465	0.918750162321432	0.75438140345336
Amp_12q14.1	0.0421676691360102	0.0516908098725095	0.00301198803686467	NA	NA	NA	NA	NA	NA	0.0271699696525576	0.0358174758106169	0.000533793129750882	NA	NA	NA	NA	NA	NA	0.338226322111003	0.342249297797988	0.456865003758703	NA	NA	NA	NA	NA	NA
Del_12q15	0.27441380059989	0.283149894000133	0.206392559972248	0.861288179720724	0.861711734315421	0.695290989990483	0.538447882150444	0.541894816187013	0.55912382060742	0.228737931581178	0.239030028379359	0.14541994693705	0.677182775017372	0.677355375924982	0.939361499550338	0.157447180195014	0.181684401278035	0.17770440865781	0.410382376138462	0.412204537745215	0.217943057787432	0.977219636607988	0.977420967512777	0.917568998541496	0.535592415094314	0.537700842774341	0.625908299570569
Amp_12q15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_13q14.2	0.126500973729366	0.131835283650129	0.0954510447806914	0.286557430216531	0.288967003841094	0.470365579772202	0.585849678850623	0.58673649018523	0.154500773573502	0.0714932160030699	0.0771449698209215	0.0425744486106792	0.24759203698965	0.250988177472705	0.480785698435295	0.471235490532984	0.473236158035424	0.0718367902182587	0.59245293368584	0.593153074810958	0.342988191338536	0.389566918679839	0.390593107977418	0.641384647166865	0.945944723369449	0.945946206638252	0.337904443836424
Del_13q22.1	0.131682725654212	0.13662034278263	0.0736307142738278	0.339674851343189	0.341850855368104	0.39875690632023	0.651849897974769	0.652372239006166	0.21017769230428	0.0749864789726559	0.0802694687212303	0.0308828311692583	0.294158738177637	0.297343674852107	0.392631604266801	0.501651234769645	0.503355479978307	0.0963778230603866	0.533370064876137	0.534219799772856	0.268435678393037	0.44085150479369	0.441670857091949	0.647958686320818	0.96567775228128	0.965678096502361	0.239470097372314
Amp_13q34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_14q13.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_14q24.2	0.214719129301293	0.218409034135048	0.155132921701294	0.607213910799612	0.608407230025521	0.471542082857599	0.553271564722293	0.554883350585034	0.946104214798506	0.0511751470223867	0.0560752744159615	0.0348543988799265	0.318811532788489	0.323796258117737	0.253653586897	0.806839000697458	0.806971795673875	0.817341101536211	0.538713585744464	0.538837991983852	0.460839613117358	0.146003469676406	0.149172765897694	0.154955117141879	0.471349272901697	0.472769172361768	0.630683590502554
