"ROW_ID"	"ROW_VERSION"	"pair_barcode"	"cellularity"	"ploidy"	"slpp"
"159"	"1"	"GLSS-SM-R061-R1-01-NB-01D-WXS"	"0.85"	"2.5"	"0.46649095198192"
"160"	"1"	"TCGA-TQ-A8XE-TP-11-NB-01D-WGS"	"0.84"	"2.1"	"0.465841875715061"
"161"	"1"	"TCGA-TQ-A8XE-R1-11-NB-01D-WGS"	"0.87"	"2"	"0.465757148158725"
"162"	"1"	"GLSS-SU-0270-TP-01-NB-01D-WXS"	"0.89"	"2.1"	"0.464731143844367"
"163"	"1"	"GLSS-HK-0002-TP-01-NB-01D-WXS"	"0.58"	"2.2"	"0.461641038931334"
"164"	"1"	"GLSS-SU-0007-TP-01-NB-01D-WXS"	"0.84"	"2"	"0.457221446775782"
"165"	"1"	"TCGA-TQ-A8XE-TP-11-NB-01D-WXS"	"0.83"	"2.1"	"0.455039930116077"
"166"	"1"	"GLSS-MG-0002-R1-01-NM-01D-WXS"	"0.84"	"4.1"	"0.453272674183411"
"167"	"1"	"GLSS-MD-LP10-TP-01-NB-01D-WXS"	"0.83"	"2.4"	"0.453217756822657"
"168"	"1"	"GLSS-HK-0003-R1-01-NB-01D-WXS"	"0.39"	"2"	"0.451921482225533"
"169"	"1"	"GLSS-MD-0042-TP-01-NB-01D-WGS"	"0.68"	"2.3"	"0.451327701531791"
"170"	"1"	"GLSS-MD-0020-TP-01-NB-01D-WGS"	"0.82"	"4.1"	"0.451281943901656"
"171"	"1"	"GLSS-HF-2548-TP-01-NB-01D-WXS"	"0.78"	"2.4"	"0.451092002355877"
"172"	"1"	"TCGA-TQ-A8XE-R1-11-NB-01D-WXS"	"0.88"	"2"	"0.450679905903944"
"173"	"1"	"GLSS-SM-R060-R3-01-NB-01D-WXS"	"0.94"	"3.6"	"0.450651418179973"
"174"	"1"	"GLSS-SF-0010-TP-01-NM-01D-WXS"	"0.85"	"2.3"	"0.447157617355278"
"175"	"1"	"GLSS-19-0279-R2-01-NB-01D-WXS"	"0.96"	"2.9"	"0.446686085244926"
"176"	"1"	"GLSS-MG-0005-R1-01-NM-01D-WXS"	"0.89"	"3.4"	"0.44665171232606"
"177"	"1"	"GLSS-HF-2829-TP-01-NB-01D-WXS"	"0.8"	"2.6"	"0.446250398282941"
"178"	"1"	"GLSS-AT-00P2-R1-01-NB-01D-WXS"	"0.74"	"2.6"	"0.443424013333097"
"179"	"1"	"GLSS-MD-0014-TP-01-NB-01D-WGS"	"0.67"	"3"	"0.442291764882526"
"180"	"1"	"GLSS-CU-R004-R1-01-NB-01D-WXS"	"0.53"	"2.2"	"0.440244893644211"
"181"	"1"	"GLSS-CU-R005-R1-01-NB-01D-WXS"	"0.84"	"2.4"	"0.439014573663187"
"182"	"1"	"GLSS-SF-0026-TP-01-NB-01D-WXS"	"0.84"	"2.1"	"0.437725318874687"
"183"	"1"	"TCGA-06-0210-R1-01-NB-01D-WGS"	"0.57"	"3.8"	"0.437609126112586"
"184"	"1"	"GLSS-AT-GP01-R1-04-NB-01D-WXS"	"0.53"	"2.1"	"0.437472457772164"
"185"	"1"	"GLSS-19-0277-TP-01-NB-01D-WXS"	"0.41"	"2.2"	"0.437067347884729"
