array	sample	call.status	purity	ploidy	Genome.doublings	Coverage.for.80..power	Cancer.DNA.fraction	Subclonal.genome.fraction	solution
TCGA-26-5136-01	TCGA-26-5136-01B-01D-1479-01	called	0.83	1.99	0	9	0.83	0.1	new
TCGA-26-5139-01	TCGA-26-5139-01A-01D-1479-01	called	0.8	2.01	0	10	0.8	0	new
TCGA-27-1830-01	TCGA-27-1830-01A-01D-0591-01	called	0.68	1.9	0	11	0.67	0.19	new
TCGA-27-1831-01	TCGA-27-1831-01A-01D-0784-01	called	0.7	2.07	0	12	0.7	0.04	new
TCGA-27-1832-01	TCGA-27-1832-01A-01D-0591-01	called	0.6	1.88	0	13	0.58	0.22	new
TCGA-27-1833-01	TCGA-27-1833-01A-01D-0591-01	called	0.93	2	0	8	0.93	0	new
TCGA-27-1834-01	TCGA-27-1834-01A-01D-0591-01	called	0.74	1.91	0	10	0.73	0.45	new
TCGA-27-1835-01	TCGA-27-1835-01A-01D-0784-01	called	0.87	2	0	9	0.87	0.01	new
TCGA-27-1836-01	TCGA-27-1836-01A-01D-0784-01	called	0.7	1.94	0	11	0.69	0.02	new
TCGA-27-1837-01	TCGA-27-1837-01A-01D-0784-01	called	0.82	1.96	0	10	0.81	0	new
TCGA-27-2518-01	TCGA-27-2518-01A-01D-0784-01	called	0.66	2.03	0	12	0.66	0	new
TCGA-27-2519-01	TCGA-27-2519-01A-01D-0784-01	called	0.7	1.91	0	11	0.69	0	new
TCGA-27-2521-01	TCGA-27-2521-01A-01D-0784-01	called	0.91	1.93	0	8	0.91	0.34	new
TCGA-27-2524-01	TCGA-27-2524-01A-01D-0784-01	called	0.8	1.86	0	9	0.79	0.04	new
TCGA-27-2527-01	TCGA-27-2527-01A-01D-0784-01	called	0.36	1.94	0	27	0.35	0.07	new
TCGA-27-2528-01	TCGA-27-2528-01A-01D-0784-01	called	0.77	2.01	0	10	0.77	0.01	new
TCGA-28-1746-01	TCGA-28-1746-01A-01D-0591-01	called	0.88	2.08	0	9	0.89	0.1	new
TCGA-28-1747-01	TCGA-28-1747-01C-01D-0784-01	called	0.8	1.96	0	10	0.8	0	new
TCGA-28-1749-01	TCGA-28-1749-01A-01D-0591-01	called	0.9	2.04	0	9	0.9	0	new
TCGA-28-1750-01	TCGA-28-1750-01A-01D-0591-01	called	0.54	2.77	1	19	0.62	0.43	new
TCGA-28-1751-01	TCGA-28-1751-01A-02D-0591-01	called	0.38	2.06	0	25	0.39	0	new
TCGA-28-1752-01	TCGA-28-1752-01A-01D-0591-01	called	0.53	1.95	0	15	0.52	0.06	new
TCGA-28-1753-01	TCGA-28-1753-01A-01D-0784-01	called	0.61	2	0	13	0.61	0	new
TCGA-28-1755-01	TCGA-28-1755-01A-01D-0591-01	called	0.89	1.98	0	9	0.88	0	new
TCGA-28-1757-01	TCGA-28-1757-01A-02D-0591-01	called	0.75	2.02	0	11	0.75	0.02	new
TCGA-28-2502-01	TCGA-28-2502-01B-01D-0784-01	called	0.52	1.96	0	16	0.51	0.11	new
TCGA-28-2506-01	TCGA-28-2506-01A-02D-0784-01	called	0.51	3.37	1	25	0.63	0.21	new
TCGA-28-2509-01	TCGA-28-2509-01A-01D-0784-01	called	0.74	4.34	2	21	0.86	0.58	new
TCGA-28-2513-01	TCGA-28-2513-01A-01D-0784-01	called	0.32	2.02	0	32	0.32	0.06	new
TCGA-28-2514-01	TCGA-28-2514-01A-02D-0784-01	called	0.88	1.94	0	9	0.87	0.15	new
TCGA-28-5204-01	TCGA-28-5204-01A-01D-1479-01	called	0.88	1.93	0	9	0.88	0.06	new
TCGA-28-5207-01	TCGA-28-5207-01A-01D-1479-01	called	0.74	2.03	0	11	0.74	0.45	new
TCGA-28-5208-01	TCGA-28-5208-01A-01D-1479-01	called	0.87	2	0	9	0.87	0.02	new
TCGA-28-5209-01	TCGA-28-5209-01A-01D-1479-01	called	0.92	1.98	0	8	0.92	0.1	new
TCGA-28-5211-01	TCGA-28-5211-01C-11D-1842-01	called	0.46	1.99	0	18	0.46	0.03	new
TCGA-28-5213-01	TCGA-28-5213-01A-01D-1479-01	called	0.49	1.87	0	16	0.48	0.01	new
TCGA-28-5214-01	TCGA-28-5214-01A-01D-1479-01	called	0.76	2.04	0	11	0.76	0.02	new
TCGA-28-5215-01	TCGA-28-5215-01A-01D-1479-01	called	0.77	1.91	0	10	0.77	0.53	new
TCGA-28-5216-01	TCGA-28-5216-01A-01D-1479-01	called	0.88	1.96	0	9	0.88	0.61	new
TCGA-28-5218-01	TCGA-28-5218-01A-01D-1479-01	called	0.6	2.68	1	17	0.67	0	new
TCGA-28-5219-01	TCGA-28-5219-01A-01D-1479-01	called	0.74	2.09	0	11	0.75	0.08	new
TCGA-28-5220-01	TCGA-28-5220-01A-01D-1479-01	called	0.88	1.84	0	8	0.87	0.04	new
TCGA-28-6450-01	TCGA-28-6450-01A-11D-1694-01	called	0.76	2.05	0	11	0.76	0.04	new
TCGA-32-1970-01	TCGA-32-1970-01A-01D-0784-01	called	0.87	2.07	0	9	0.87	0.28	new
TCGA-32-1976-01	TCGA-32-1976-01A-01D-0784-01	called	0.85	2.1	0	10	0.85	0.25	new
TCGA-32-1977-01	TCGA-32-1977-01A-01D-1224-01	called	0.53	1.99	0	16	0.53	0	new
TCGA-32-1979-01	TCGA-32-1979-01A-01D-1694-01	called	0.54	4.15	1	29	0.71	0.08	new
TCGA-32-1980-01	TCGA-32-1980-01A-01D-1694-01	called	0.18	1.85	0	61	0.17	0.3	new
TCGA-32-1982-01	TCGA-32-1982-01A-01D-0784-01	called	0.58	2.02	0	14	0.58	0	new
TCGA-32-1986-01	TCGA-32-1986-01A-01D-0784-01	called	0.53	2.1	0	16	0.54	0.09	new
TCGA-32-1991-01	TCGA-32-1991-01A-01D-1224-01	called	0.81	1.97	0	10	0.81	0.16	new
TCGA-32-2491-01	TCGA-32-2491-01A-01D-1224-01	called	0.58	1.92	0	14	0.57	0.07	new
TCGA-32-2494-01	TCGA-32-2494-01A-01D-1224-01	called	0.58	1.94	0	14	0.57	0	new
TCGA-32-2615-01	TCGA-32-2615-01A-01D-0911-01	called	0.84	1.87	0	9	0.83	0.41	new
TCGA-32-2616-01	TCGA-32-2616-01A-01D-0911-01	called	0.83	2.05	0	10	0.83	0.02	new
TCGA-32-2632-01	TCGA-32-2632-01A-01D-0911-01	called	0.59	3.5	1	20	0.72	0.55	new
TCGA-32-2634-01	TCGA-32-2634-01A-01D-0911-01	called	0.89	1.86	0	8	0.88	0.02	new
TCGA-32-2638-01	TCGA-32-2638-01A-01D-0911-01	called	0.83	1.99	0	10	0.82	0.03	new
TCGA-32-4208-01	TCGA-32-4208-01A-01D-1224-01	called	0.91	1.95	0	8	0.91	0.15	new
TCGA-32-4210-01	TCGA-32-4210-01A-01D-1224-01	called	0.75	5.99	2	34	0.9	0.22	new
TCGA-32-4211-01	TCGA-32-4211-01A-01D-1224-01	called	0.65	2.04	0	13	0.65	0.14	new
TCGA-32-4213-01	TCGA-32-4213-01A-01D-1224-01	called	0.69	1.88	0	11	0.68	0.02	new
TCGA-32-4719-01	TCGA-32-4719-01A-01D-1224-01	called	0.82	1.94	0	9	0.82	0.13	new
TCGA-32-5222-01	TCGA-32-5222-01A-01D-1479-01	called	0.59	4.46	1	29	0.76	0.08	new
TCGA-41-2571-01	TCGA-41-2571-01A-01D-0911-01	called	0.78	2.01	0	10	0.79	0.01	new
TCGA-41-2572-01	TCGA-41-2572-01A-01D-1224-01	called	0.84	1.96	0	9	0.84	0.04	new
TCGA-41-2573-01	TCGA-41-2573-01A-01D-0911-01	called	0.67	3.16	1	17	0.76	0.1	new
TCGA-41-2575-01	TCGA-41-2575-01A-01D-0911-01	called	0.92	1.95	0	8	0.92	0.08	new
TCGA-41-3392-01	TCGA-41-3392-01A-01D-0911-01	called	0.86	1.91	0	9	0.85	0.1	new
TCGA-41-3915-01	TCGA-41-3915-01A-01D-1224-01	called	0.77	1.83	0	10	0.76	0.38	new
TCGA-41-4097-01	TCGA-41-4097-01A-01D-1224-01	called	0.53	1.8	0	15	0.5	0.35	new
TCGA-41-5651-01	TCGA-41-5651-01A-01D-1694-01	called	0.94	2.04	0	8	0.94	0.17	new
TCGA-41-6646-01	TCGA-41-6646-01A-11D-1842-01	called	0.68	2.01	0	12	0.68	0.02	new
TCGA-74-6573-01	TCGA-74-6573-01A-12D-1842-01	called	0.86	1.91	0	9	0.86	0.07	new
TCGA-74-6575-01	TCGA-74-6575-01A-11D-1842-01	called	0.63	1.96	0	13	0.63	0.08	new
TCGA-74-6578-01	TCGA-74-6578-01A-11D-1842-01	called	0.71	2.02	0	11	0.71	0.02	new
TCGA-74-6581-01	TCGA-74-6581-01A-11D-1842-01	called	0.89	1.99	0	9	0.89	0	new
TCGA-74-6584-01	TCGA-74-6584-01A-11D-1842-01	called	0.53	4.09	1	29	0.7	0.33	new
TCGA-76-4925-01	TCGA-76-4925-01A-01D-1479-01	called	0.94	1.92	0	8	0.94	0.1	new
TCGA-76-4926-01	TCGA-76-4926-01B-01D-1479-01	called	0.79	1.99	0	10	0.79	0.02	new
TCGA-76-4928-01	TCGA-76-4928-01B-01D-1479-01	called	0.41	3.9	1	35	0.57	0.11	new
TCGA-76-4929-01	TCGA-76-4929-01A-01D-1479-01	called	0.8	3.48	1	16	0.88	0.07	new
TCGA-76-4931-01	TCGA-76-4931-01A-01D-1479-01	called	0.93	1.95	0	8	0.93	0.12	new
TCGA-76-4934-01	TCGA-76-4934-01A-01D-1479-01	called	0.85	3.41	1	15	0.91	0.28	new
TCGA-76-4935-01	TCGA-76-4935-01A-01D-1479-01	called	0.92	1.96	0	8	0.92	0.04	new
TCGA-76-6191-01	TCGA-76-6191-01A-12D-1694-01	called	0.89	1.95	0	9	0.89	0.03	new
